nombre,region,distrito,partido,correo
"Nogueira Fernández, Claudia",RM de Metropolitana,19,Unión Demócrata Independiente,cnogueira@congreso.cl
"Norambuena Farías, Iván",VIII de del Bío Bío,46,Unión Demócrata Independiente,inorambuena@congreso.cl
"Núñez Arancibia, Daniel",IV de de Coquimbo,8,Partido Comunista,daniel.nunez@congreso.cl
"Núñez Lozano, Marco Antonio",V de de Valparaíso,11,Partido Por la Democracia,mnunez@congreso.cl
"Núñez Urrutia, Paulina",II de de Antofagasta,4,Renovación Nacional,paulina.nunez@congreso.cl
"Ojeda Uribe, Sergio",X de de los Lagos,55,Partido Demócrata Cristiano,sojeda@congreso.cl
"Ortiz Novoa, José Miguel",VIII de del Bío Bío,44,Partido Demócrata Cristiano,jmortiz@congreso.cl
"Pacheco Rivas, Clemira",VIII de del Bío Bío,45,Partido Socialista,cpacheco@congreso.cl
"Pascal Allende, Denise",RM de Metropolitana,31,Partido Socialista,dpascal@congreso.cl
"Paulsen Kehr, Diego",IX de de la Araucanía,49,Renovación Nacional,diego.paulsen@congreso.cl
"Pérez Arriagada, José",VIII de del Bío Bío,47,Partido Radical Social Demócrata,jperez@congreso.cl
"Pérez Lahsen, Leopoldo",RM de Metropolitana,29,Renovación Nacional,lperezl@congreso.cl
"Pilowsky Greene, Jaime",RM de Metropolitana,24,Partido Demócrata Cristiano,jaime.pilowsky@congreso.cl
"Poblete Zapata, Roberto",VIII de del Bío Bío,47,Independientes,roberto.poblete@congreso.cl
"Provoste Campillay, Yasna",III de de Atacama,6,Partido Demócrata Cristiano,yasna.provoste@congreso.cl
"Rathgeb Schifferli, Jorge",IX de de la Araucanía,48,Renovación Nacional,jorge.rathgeb@congreso.cl
"Rincón González, Ricardo",VI de del Libertador Bernardo O' Higgins,33,Partido Demócrata Cristiano,rrincon@congreso.cl
"Rivas Sánchez, Gaspar",V de de Valparaíso,11,Independientes,grivas@congreso.cl
"Robles Pantoja, Alberto",III de de Atacama,6,Partido Radical Social Demócrata,arobles@congreso.cl
"Rocafull López, Luis",XV de Arica y Parinacota,1,Partido Socialista,luis.rocafull@congreso.cl
"Rubilar Barahona, Karla",RM de Metropolitana,17,Independientes,krubilar@congreso.cl
"Sabag Villalobos, Jorge",VIII de del Bío Bío,42,Partido Demócrata Cristiano,jsabag@congreso.cl
"Sabat Fernández, Marcela",RM de Metropolitana,21,Renovación Nacional,msabat@congreso.cl
"Saffirio Espinoza, René",IX de de la Araucanía,50,Partido Demócrata Cristiano,rsaffirio@congreso.cl
"Saldívar Auger, Raúl",IV de de Coquimbo,7,Partido Socialista,raul.saldivar@congreso.cl
"Sandoval Plaza, David",XI de de Aysén del General Carlos Ibáñez del Campo,59,Unión Demócrata Independiente,dsandoval@congreso.cl
"Santana Tirachini, Alejandro",X de de los Lagos,58,Renovación Nacional,asantana@congreso.cl
"Schilling Rodríguez, Marcelo",V de de Valparaíso,12,Partido Socialista,schilling@congreso.cl
"Sepúlveda Orbenes, Alejandra",VI de del Libertador Bernardo O' Higgins,34,Independientes,asepulveda@congreso.cl
"Silber Romo, Gabriel",RM de Metropolitana,16,Partido Demócrata Cristiano,gsilber@congreso.cl
"Silva Méndez, Ernesto",RM de Metropolitana,23,Unión Demócrata Independiente,esilva@congreso.cl
"Soto Ferrada, Leonardo",RM de Metropolitana,30,Partido Socialista,leonardo.soto@congreso.cl
"Squella Ovalle, Arturo",V de de Valparaíso,12,Unión Demócrata Independiente,asquella@congreso.cl
"Tarud Daccarett, Jorge",VII de del Maule,39,Partido Por la Democracia,jtarud@congreso.cl
"Teillier Del Valle, Guillermo",RM de Metropolitana,28,Partido Comunista,gteillier@congreso.cl
"Torres Jeldes, Víctor",V de de Valparaíso,15,Partido Demócrata Cristiano,vtorres@congreso.cl
"Trisotti Martínez, Renzo",I de de Tarapacá,2,Unión Demócrata Independiente,renzo.trisotti@congreso.cl
"Tuma Zedan, Joaquín",IX de de la Araucanía,51,Partido Por la Democracia,jtuma@congreso.cl
"Turres Figueroa, Marisol",X de de los Lagos,57,Unión Demócrata Independiente,mturres@congreso.cl
"Ulloa Aguillón, Jorge",VIII de del Bío Bío,43,Unión Demócrata Independiente,julloa@congreso.cl
"Urízar Muñoz, Christian",V de de Valparaíso,10,Partido Socialista,christian.urizar@congreso.cl
"Urrutia Bonilla, Ignacio",VII de del Maule,40,Unión Demócrata Independiente,iurrutia@congreso.cl
"Urrutia Soto, Osvaldo",V de de Valparaíso,14,Unión Demócrata Independiente,osvaldo.urrutia@congreso.cl
"Vallejo Dowling, Camila",RM de Metropolitana,26,Partido Comunista,camila.vallejo@congreso.cl
"Vallespín López, Patricio",X de de los Lagos,57,Partido Demócrata Cristiano,pvallespin@congreso.cl
"Van Rysselberghe Herrera, Enrique",VIII de del Bío Bío,44,Unión Demócrata Independiente,evr@congreso.cl
"Venegas Cárdenas, Mario",IX de de la Araucanía,48,Partido Demócrata Cristiano,mvenegas@congreso.cl
"Verdugo Soto, Germán",VII de del Maule,37,Renovación Nacional,gverdugo@congreso.cl
"Walker Prieto, Matías",IV de de Coquimbo,8,Partido Demócrata Cristiano,mwalker@congreso.cl
"Ward Edwards, Felipe",II de de Antofagasta,3,Unión Demócrata Independiente,fw120@congreso.cl
